time,Wind_speed,Wind_dir,Visibility,Temperature,dewpoint,Humidity
2021-11-03 08:40,1.5482842,285.4652,27104.018,291.4138,278.17596,65.35581
2021-11-03 09:00,2.0383112,302.10666,28593.02,294.34442,278.19336,46.86259
2021-11-03 09:20,1.8241624,295.45184,29009.271,297.2864,277.29565,38.957607
2021-11-03 09:40,1.8504181,288.90884,29294.24,299.96747,276.01572,32.375
2021-11-03 10:00,2.566825,279.9227,29588.295,301.59473,275.45325,24.73064
2021-11-03 10:20,2.4895742,271.98007,29653.121,302.08832,275.50955,22.806894
2021-11-03 10:40,2.449563,262.4547,29676.38,302.2445,275.89172,22.28314
2021-11-03 11:00,2.343946,253.53687,29635.645,301.97598,276.25003,23.499931
2021-11-03 11:20,2.1491325,241.60806,28979.459,300.09546,278.76382,39.239258
2021-11-03 11:40,2.121882,253.19356,27219.03,296.57172,282.20868,63.56425
2021-11-03 12:00,0.53908485,344.87897,21898.791,294.50848,282.11432,87.53984
2021-11-03 12:20,3.1081438,20.639786,27202,293.96933,282.40628,64.19629
2021-11-03 12:40,2.966491,56.32666,27197,293.03757,283.3438,64.44959
2021-11-03 13:00,2.6280494,90.70993,25854,292.11932,282.61475,74.2292
2021-11-03 13:20,2.6192522,126.95916,25106.934,291.65198,281.96875,78.131165
2021-11-03 13:40,0.942482,152.24896,22465.957,290.82782,281.24005,85.455635
2021-11-03 14:00,2.040169,13.264032,23666.658,290.25168,280.58582,83.23493
2021-11-03 14:20,1.2450349,45.401386,21082.59,289.33398,280.46542,89.30892
2021-11-03 14:40,1.7812902,75.52947,20994.535,288.9992,280.28424,89.583565
2021-11-03 15:00,2.347442,73.72231,19002.709,288.4464,280.10278,92.555725
2021-11-03 15:20,2.4194214,151.77643,17642.604,287.77695,280.0525,94.026
2021-11-03 15:40,2.3841476,153.03755,17577.074,287.25873,279.93646,94.06109
2021-11-03 16:00,2.2906566,164.77867,18931.256,286.9262,279.7077,92.605896
2021-11-03 16:20,1.5647913,190.8864,22444.084,287.91226,279.56372,86.58334
2021-11-03 16:40,1.3638043,224.95334,26571,291.61215,280.07904,69.5618
2021-11-03 17:00,1.5902333,236.66982,28148.422,295.71393,280.01575,53.67903
2021-11-03 17:20,2.05258,253.9081,29043,298.87958,277.52002,38.126476
2021-11-03 17:40,2.6113038,271.39752,29443,300.7699,276.68118,28.676199
2021-11-03 18:00,2.9545236,277.10245,29649.857,301.86157,277.08936,23.147633
2021-11-03 18:20,2.7908032,289.58807,29691.654,302.72528,276.61905,21.90658
2021-11-03 18:40,3.0976284,297.9726,29748.479,303.0688,276.4199,20.223
